OrderNumber,OrderDate,Channel,Warehouse Code,Order Quantity,Unit Price,Unit Cost,Customer Name,Customer Email,Product Name,Channel Code,Channel Alt. Name,Channel Importance,Channel Prior Code,Delivery City
SO - 000112,2014-06-02,Distributor,AXW291,8,6277.900000000001,2762.2760000000003,Wordpedia Ltd,kmurray1y@go.com,Product 11,DIST,Regional,Mid,REGIONS,"Zaporozhye, Ukraine"
SO - 000113,2014-06-02,Export,NXH382,7,1051.9,641.659,Jayo Company,mreyes1q@umn.edu,Product 5,EXP,International,High,INTL,"HELSINKI, Finland"
SO - 000114,2014-06-02,Export,NXH382,9,254.6,216.41,Wise Company,bmatthewsm@dot.gov,Product 12,EXP,International,High,INTL,"VILNIUS, Lithuania"
SO - 000115,2014-06-02,Distributor,AXW291,5,3932.9,3146.32,Pfizer Corp,cwillis4l@answers.com,Product 3,DIST,Regional,Mid,REGIONS,"Köln (Cologne), Germany"
SO - 000116,2014-06-02,Wholesale,FLR025,10,1112.2,700.686,Holston Company,chamilton3z@geocities.jp,Product 9,WHOLE,Local,Low,SUPER,"Mykolaiv, Ukraine"
SO - 000117,2014-06-02,Wholesale,NXH382,12,1239.5,904.8349999999999,Holston Company,chamilton3z@geocities.jp,Product 15,WHOLE,Local,Low,SUPER,"Málaga, Spain"
SO - 000118,2014-06-02,Export,AXW291,12,984.9,393.96000000000004,Actavis Company,jkimw@netscape.com,Product 4,EXP,International,High,INTL,"ROMA, Italy"
SO - 000119,2014-06-02,Distributor,FLR025,5,5581.1,4130.014,Pixoboo Corp,gpalmer43@hexun.com,Product 15,DIST,Regional,Mid,REGIONS,"Hannover, Germany"
SO - 000120,2014-06-02,Wholesale,AXW291,8,3095.4,1795.3319999999999,Eire Corp,rgreene16@deviantart.com,Product 2,WHOLE,Local,Low,SUPER,"Köln (Cologne), Germany"
SO - 000121,2014-06-02,Export,GUT930,8,2278.0,1754.06,Skiptube Ltd,jmcdonaldbb@disqus.com,Product 15,EXP,International,High,INTL,"STOCKHOLM, Sweden"
SO - 000122,2014-06-03,Export,NXH382,12,991.6,654.456,Aimbo Corp,criveramf@mysql.com,Product 10,EXP,International,High,INTL,"Dortmund, Germany"
SO - 000123,2014-06-03,Distributor,AXW291,6,3979.8,3064.4460000000004,WOCKHARDT Group,mcarter8x@feedburner.com,Product 9,DIST,Regional,Mid,REGIONS,"ROMA, Italy"
SO - 000124,2014-06-03,Wholesale,GUT930,12,1969.8,866.712,Avamba Company,abradleyag@patch.com,Product 14,WHOLE,Local,Low,SUPER,"Kryvy Rig, Ukraine"
SO - 000125,2014-06-03,Wholesale,GUT930,12,268.0,131.32,Topco Company,phenry4a@samsung.com,Product 9,WHOLE,Local,Low,SUPER,"RIGA, Latvia"
SO - 000126,2014-06-03,Wholesale,AXW291,11,174.20000000000002,95.81000000000002,Mydo Corp,rramoshq@jugem.jp,Product 4,WHOLE,Local,Low,SUPER,"Dnepropetrovsk, Ukraine"
SO - 000127,2014-06-03,Distributor,GUT930,6,2988.2000000000003,2510.088,Epic Group,sruizd@wikia.com,Product 13,DIST,Regional,Mid,REGIONS,"Palermo, Italy"
SO - 000128,2014-06-03,Wholesale,GUT930,11,3999.9,2679.9330000000004,Tagfeed Ltd,srichardson8l@ucla.edu,Product 2,WHOLE,Local,Low,SUPER,"KISHINEV, Moldova"
SO - 000129,2014-06-03,Distributor,AXW291,10,5976.400000000001,2450.324,Jayo Company,mreyes1q@umn.edu,Product 7,DIST,Regional,Mid,REGIONS,"PRAHA (Prague), Czech Republic"
SO - 000130,2014-06-03,Wholesale,AXW291,6,2901.1,2378.9019999999996,Skajo Ltd,vwatkins8z@unblog.fr,Product 12,WHOLE,Local,Low,SUPER,"SOFIA, Bulgaria"
SO - 000131,2014-06-04,Distributor,NXH382,7,6076.900000000001,2734.6050000000005,Mydo Corp,rramoshq@jugem.jp,Product 4,DIST,Regional,Mid,REGIONS,"Düsseldorf, Germany"
SO - 000132,2014-06-04,Distributor,NXH382,6,5735.2,4186.696,Yombu Corp,dfox1t@reuters.com,Product 6,DIST,Regional,Mid,REGIONS,"Düsseldorf, Germany"
SO - 000133,2014-06-04,Export,GUT930,12,3919.5,2077.335,SHISEIDO Ltd,rreyesqw@list-manage.com,Product 6,EXP,International,High,INTL,"Leeds, UK"
SO - 000134,2014-06-04,Distributor,FLR025,8,6083.6,3832.668,ALK-Abello Ltd,jwelch37@bigcartel.com,Product 8,DIST,Regional,Mid,REGIONS,"KOBENHAVN (Copenhagen), Denmark"
SO - 000135,2014-06-04,Wholesale,FLR025,5,2566.1,1642.304,Colgate-Pa Group,dmorrisf1@google.pl,Product 5,WHOLE,Local,Low,SUPER,"SARAJEVO, Bosnia"
SO - 000136,2014-06-04,Wholesale,AXW291,10,2278.0,1093.44,Brainspher Ltd,hfowler6h@xinhuanet.com,Product 9,WHOLE,Local,Low,SUPER,"Barcelona, Spain"
SO - 000137,2014-06-04,Wholesale,GUT930,7,261.3,120.19800000000001,H Ltd,pgonzales7y@youku.com,Product 4,WHOLE,Local,Low,SUPER,"Wroclaw (Breslau), Poland"
SO - 000138,2014-06-04,Wholesale,FLR025,9,998.3000000000001,698.8100000000001,Voonyx Group,sandrews4j@cisco.com,Product 2,WHOLE,Local,Low,SUPER,"OSLO, Norway"
SO - 000139,2014-06-04,Wholesale,AXW291,6,3497.4,1958.5440000000003,Kazu Corp,jwoodo@mit.edu,Product 14,WHOLE,Local,Low,SUPER,"München (Munich), Germany"
SO - 000140,2014-06-04,Wholesale,GUT930,9,1132.3,486.88899999999995,Aldi Ltd,fcampbell80@360.cn,Product 2,WHOLE,Local,Low,SUPER,"Kraków, Poland"
SO - 000141,2014-06-04,Wholesale,AXW291,9,2405.3,1587.4980000000003,Cogilith Group,bnelson17@parallels.com,Product 10,WHOLE,Local,Low,SUPER,"BUDAPEST, Hungary"
SO - 000142,2014-06-04,Distributor,FLR025,7,5701.7,3249.9689999999996,Cadila Ltd,joliver2c@usda.gov,Product 14,DIST,Regional,Mid,REGIONS,"KOBENHAVN (Copenhagen), Denmark"
SO - 000143,2014-06-05,Distributor,GUT930,9,2452.2000000000003,1446.798,Quimm Company,rhenry7y@squarespace.com,Product 4,DIST,Regional,Mid,REGIONS,"Frankfurt am Main, Germany"
SO - 000144,2014-06-05,Wholesale,AXW291,7,3095.4,2012.0100000000002,Dynazzy Company,ahansoni9@acquirethisname.com,Product 15,WHOLE,Local,Low,SUPER,"BERLIN, Germany"
SO - 000145,2014-06-05,Export,GUT930,9,3865.9,2164.9040000000005,Aimbo Corp,criveramf@mysql.com,Product 13,EXP,International,High,INTL,"AMSTERDAM, Netherlands"
SO - 000146,2014-06-05,Distributor,AXW291,7,2304.8,1382.88,Jaxbean Group,jwilliamsonpk@eventbrite.com,Product 7,DIST,Regional,Mid,REGIONS,"BUCURESTI (Bucharest), Romania"
SO - 000147,2014-06-05,Distributor,AXW291,10,3195.9,1470.114,Gigabox Group,jjohnston3t@homestead.com,Product 8,DIST,Regional,Mid,REGIONS,"BUCURESTI (Bucharest), Romania"
SO - 000148,2014-06-05,Wholesale,NXH382,10,6452.1,5161.68,Realbuzz Ltd,gandrews39@nifty.com,Product 12,WHOLE,Local,Low,SUPER,"VILNIUS, Lithuania"
SO - 000149,2014-06-06,Export,AXW291,6,2003.3,921.518,US Ltd,astone14@shareasale.com,Product 13,EXP,International,High,INTL,"SOFIA, Bulgaria"
SO - 000150,2014-06-06,Wholesale,AXW291,5,3638.1,1455.24,Zoonder Group,lboydnj@forbes.com,Product 6,WHOLE,Local,Low,SUPER,"ROMA, Italy"
SO - 000151,2014-06-06,Export,AXW291,6,2278.0,1822.4,Roberts Company,cwagnera2@ed.gov,Product 3,EXP,International,High,INTL,"Dnepropetrovsk, Ukraine"
SO - 000152,2014-06-06,Distributor,AXW291,12,924.6,582.498,Viva Ltd,wyoungoo@ucla.edu,Product 5,DIST,Regional,Mid,REGIONS,"Torino (Turin), Italy"
SO - 000153,2014-06-06,Wholesale,AXW291,11,3926.2000000000003,3062.436,Golden Corp,kmoreno34@ca.gov,Product 7,WHOLE,Local,Low,SUPER,"Dnepropetrovsk, Ukraine"
SO - 000154,2014-06-06,Export,FLR025,7,3825.7000000000003,2257.163,Cogidoo Company,mcarrolli3@foxnews.com,Product 3,EXP,International,High,INTL,"Hannover, Germany"
SO - 000155,2014-06-06,Wholesale,FLR025,10,2257.9,1377.319,Internatio Company,bbutler13@addtoany.com,Product 10,WHOLE,Local,Low,SUPER,"OSLO, Norway"
SO - 000156,2014-06-07,Wholesale,AXW291,7,1112.2,756.296,Ascend Ltd,wwilliamson1g@about.me,Product 2,WHOLE,Local,Low,SUPER,"ZAGREB, Croatia"
SO - 000157,2014-06-07,Wholesale,AXW291,5,3557.7000000000003,1814.4270000000001,NARS Group,bhamilton70@multiply.com,Product 4,WHOLE,Local,Low,SUPER,"SOFIA, Bulgaria"
SO - 000158,2014-06-07,Distributor,AXW291,7,2371.8,1233.3360000000002,Ascend Ltd,wwilliamson1g@about.me,Product 11,DIST,Regional,Mid,REGIONS,"WARSZAWA (Warsaw), Poland"
SO - 000159,2014-06-07,Wholesale,AXW291,12,857.6,686.08,Zooveo Company,jevans0@guardian.co.uk,Product 8,WHOLE,Local,Low,SUPER,"WARSZAWA (Warsaw), Poland"
SO - 000160,2014-06-08,Wholesale,GUT930,11,3892.7000000000003,2880.598,Voolith Ltd,ddayqi@amazon.co.jp,Product 3,WHOLE,Local,Low,SUPER,"KISHINEV, Moldova"
SO - 000161,2014-06-08,Distributor,AXW291,8,3477.3,1390.92,Geiss Company,lharrison3v@eepurl.com,Product 15,DIST,Regional,Mid,REGIONS,"Zaporozhye, Ukraine"
SO - 000162,2014-06-08,Distributor,AXW291,6,3738.6,2803.95,Mydeo Ltd,sjohnstonjs@deliciousdays.com,Product 8,DIST,Regional,Mid,REGIONS,"Zaporozhye, Ukraine"
SO - 000163,2014-06-08,Wholesale,NXH382,8,1072.0,589.6,Pfizer Corp,cwillis4l@answers.com,Product 1,WHOLE,Local,Low,SUPER,"Zaragoza, Spain"
SO - 000164,2014-06-08,Wholesale,AXW291,12,2257.9,1761.162,Tambee Company,hturnerw@answers.com,Product 7,WHOLE,Local,Low,SUPER,"Napoli (Naples), Italy"
SO - 000165,2014-06-08,Distributor,GUT930,5,1058.6000000000001,751.6060000000001,Twinte Group,ebellpi@yandex.ru,Product 5,DIST,Regional,Mid,REGIONS,"Palermo, Italy"
SO - 000166,2014-06-08,Wholesale,AXW291,10,2492.4,1296.048,MEIJER Corp,esimmons3g@guardian.co.uk,Product 12,WHOLE,Local,Low,SUPER,"Kharkov, Ukraine"
SO - 000167,2014-06-08,Wholesale,AXW291,6,3852.5,2465.6,Tagfeed Ltd,srichardson8l@ucla.edu,Product 14,WHOLE,Local,Low,SUPER,"WIEN (Vienna), Austria"
SO - 000168,2014-06-09,Wholesale,GUT930,11,241.20000000000002,132.66000000000003,Livepath Corp,tdavis1v@state.gov,Product 13,WHOLE,Local,Low,SUPER,"Leeds, UK"
SO - 000169,2014-06-09,Distributor,AXW291,5,1051.9,494.39300000000003,Quimm Company,rhenry7y@squarespace.com,Product 3,DIST,Regional,Mid,REGIONS,"PARIS, France"
SO - 000170,2014-06-09,Distributor,AXW291,8,227.8,107.066,Vimbo Company,srice31@exblog.jp,Product 2,DIST,Regional,Mid,REGIONS,"RIGA, Latvia"
SO - 000171,2014-06-09,Wholesale,FLR025,9,1078.7,506.989,Feednation Corp,rbennett8q@tinypic.com,Product 1,WHOLE,Local,Low,SUPER,"Sheffield, UK"
SO - 000172,2014-06-09,Wholesale,AXW291,6,1005.0,743.7,Zooveo Company,jevans0@guardian.co.uk,Product 3,WHOLE,Local,Low,SUPER,"PRAHA (Prague), Czech Republic"
SO - 000173,2014-06-09,Distributor,NXH382,6,2485.7000000000003,1317.4210000000003,WOCKHARDT Group,mcarter8x@feedburner.com,Product 6,DIST,Regional,Mid,REGIONS,"Stuttgart, Germany"
SO - 000174,2014-06-09,Distributor,AXW291,10,2659.9,2154.5190000000002,Vitz Company,pmorales92@naver.com,Product 3,DIST,Regional,Mid,REGIONS,"Torino (Turin), Italy"
SO - 000175,2014-06-10,Wholesale,AXW291,11,2224.4,1579.324,Wordware Company,tlopezn@bandcamp.com,Product 15,WHOLE,Local,Low,SUPER,"Dnepropetrovsk, Ukraine"
SO - 000176,2014-06-10,Wholesale,FLR025,8,2472.3,1260.873,Eayo Company,jcastillo1w@independent.co.uk,Product 14,WHOLE,Local,Low,SUPER,"SARAJEVO, Bosnia"
SO - 000177,2014-06-10,Wholesale,GUT930,7,1011.7,799.243,Remedy Ltd,gray5n@bravesites.com,Product 9,WHOLE,Local,Low,SUPER,"Palermo, Italy"
SO - 000178,2014-06-10,Wholesale,GUT930,6,234.5,128.97500000000002,Mydo Corp,rramoshq@jugem.jp,Product 11,WHOLE,Local,Low,SUPER,"Palermo, Italy"
SO - 000179,2014-06-10,Distributor,AXW291,8,261.3,143.71500000000003,Rooxo Company,jgriffine@latimes.com,Product 3,DIST,Regional,Mid,REGIONS,"Lódz, Poland"
SO - 000180,2014-06-10,Export,AXW291,5,4006.6,2844.6859999999997,SUPERVALU Ltd,pbowman2q@usa.gov,Product 4,EXP,International,High,INTL,"BUCURESTI (Bucharest), Romania"
SO - 000181,2014-06-10,Distributor,GUT930,6,1333.3,866.645,Zooxo Ltd,hmoore3c@privacy.gov.au,Product 1,DIST,Regional,Mid,REGIONS,"AMSTERDAM, Netherlands"
SO - 000182,2014-06-11,Wholesale,GUT930,5,167.5,90.45,WOCKHARDT Group,mcarter8x@feedburner.com,Product 13,WHOLE,Local,Low,SUPER,"Wroclaw (Breslau), Poland"
SO - 000183,2014-06-11,Export,FLR025,5,3195.9,1821.6629999999998,Safecor Corp,bchapmanu@geocities.jp,Product 12,EXP,International,High,INTL,"SARAJEVO, Bosnia"
SO - 000184,2014-06-11,Wholesale,NXH382,10,1051.9,809.9630000000001,Ascend Ltd,wwilliamson1g@about.me,Product 12,WHOLE,Local,Low,SUPER,"LISBOA (Lisbon), Portugal"
SO - 000185,2014-06-11,Export,AXW291,9,5447.1,3540.6150000000002,Linkbuzz Ltd,bsimsla@icio.us,Product 5,EXP,International,High,INTL,"BERLIN, Germany"
SO - 000186,2014-06-11,Wholesale,GUT930,8,3182.5,1973.15,Quaxo Ltd,jgray33@blogtalkradio.com,Product 7,WHOLE,Local,Low,SUPER,"Kraków, Poland"
SO - 000187,2014-06-12,Wholesale,FLR025,5,891.1,632.681,Bath Group,cparker3z@state.tx.us,Product 9,WHOLE,Local,Low,SUPER,"SARAJEVO, Bosnia"
SO - 000188,2014-06-12,Export,AXW291,7,3892.7000000000003,2724.89,Janyx Group,earnold59@epa.gov,Product 13,EXP,International,High,INTL,"Lódz, Poland"
SO - 000189,2014-06-12,Export,GUT930,9,3953.0,3360.0499999999997,Viva Ltd,wyoungoo@ucla.edu,Product 9,EXP,International,High,INTL,"Frankfurt am Main, Germany"
SO - 000190,2014-06-12,Wholesale,GUT930,9,924.6,545.514,Organon Corp,cwillis1c@theatlantic.com,Product 4,WHOLE,Local,Low,SUPER,"Salonika, Greece"
SO - 000191,2014-06-12,Distributor,GUT930,10,3430.4,1989.6319999999998,Blogtags Ltd,rscott2f@printfriendly.com,Product 4,DIST,Regional,Mid,REGIONS,"Salonika, Greece"
SO - 000192,2014-06-12,Wholesale,AXW291,8,1152.4,622.296,Camido Company,alopez2b@vistaprint.com,Product 6,WHOLE,Local,Low,SUPER,"RIGA, Latvia"
SO - 000193,2014-06-12,Wholesale,AXW291,5,1085.4,922.59,Army Group,aellis34@tiny.cc,Product 9,WHOLE,Local,Low,SUPER,"Odessa, Ukraine"
SO - 000194,2014-06-13,Wholesale,AXW291,5,5031.7,4025.36,Z.H.T. Group,rwhitedq@nymag.com,Product 6,WHOLE,Local,Low,SUPER,"ZAGREB, Croatia"
SO - 000195,2014-06-13,Wholesale,AXW291,8,1092.1000000000001,436.8400000000001,Wordware Company,tlopezn@bandcamp.com,Product 8,WHOLE,Local,Low,SUPER,"PRAHA (Prague), Czech Republic"
SO - 000196,2014-06-13,Export,AXW291,9,187.6,144.452,SEINDNI Corp,jwilliamson1o@unblog.fr,Product 7,EXP,International,High,INTL,"ROMA, Italy"
SO - 000197,2014-06-13,Export,AXW291,9,3993.2000000000003,2835.172,Nexus Group,rsanders1e@latimes.com,Product 9,EXP,International,High,INTL,"München (Munich), Germany"
SO - 000198,2014-06-13,Export,FLR025,11,2472.3,1433.934,Roberts Company,cwagnera2@ed.gov,Product 1,EXP,International,High,INTL,"OSLO, Norway"
SO - 000199,2014-06-13,Wholesale,AXW291,11,1206.0,844.1999999999999,Brainspher Ltd,hfowler6h@xinhuanet.com,Product 9,WHOLE,Local,Low,SUPER,"KIEV, Ukraine"
SO - 000200,2014-06-13,Distributor,AXW291,11,1728.6000000000001,985.302,Bath Group,cparker3z@state.tx.us,Product 4,DIST,Regional,Mid,REGIONS,"Torino (Turin), Italy"
SO - 000201,2014-06-13,Wholesale,AXW291,6,1983.2,1447.736,Tambee Company,hturnerw@answers.com,Product 15,WHOLE,Local,Low,SUPER,"Köln (Cologne), Germany"
SO - 000202,2014-06-13,Wholesale,GUT930,7,5313.1,2656.55,Cogilith Group,bnelson17@parallels.com,Product 14,WHOLE,Local,Low,SUPER,"ATHINAI (Athens), Greece"
SO - 000203,2014-06-13,Export,AXW291,11,871.0,566.15,Roomm Company,hbishop6d@goodreads.com,Product 15,EXP,International,High,INTL,"WARSZAWA (Warsaw), Poland"
SO - 000204,2014-06-14,Wholesale,GUT930,6,2532.6,2051.406,Aibox Company,smorrisba@craigslist.org,Product 13,WHOLE,Local,Low,SUPER,"Lvov, Ukraine"
SO - 000205,2014-06-14,Wholesale,AXW291,8,5916.1,4673.719,Revitol Company,aramos9w@php.net,Product 7,WHOLE,Local,Low,SUPER,"München (Munich), Germany"
SO - 000206,2014-06-14,Wholesale,GUT930,7,2887.7000000000003,1443.8500000000001,Vimbo Company,srice31@exblog.jp,Product 13,WHOLE,Local,Low,SUPER,"Palermo, Italy"
SO - 000207,2014-06-14,Wholesale,GUT930,7,1855.9,1447.602,SEINDNI Corp,jwilliamson1o@unblog.fr,Product 15,WHOLE,Local,Low,SUPER,"Kraków, Poland"
SO - 000208,2014-06-14,Distributor,AXW291,6,207.70000000000002,135.00500000000002,Vitz Company,pmorales92@naver.com,Product 4,DIST,Regional,Mid,REGIONS,"WARSZAWA (Warsaw), Poland"
SO - 000209,2014-06-14,Wholesale,FLR025,6,1058.6000000000001,772.7780000000001,Brainspher Ltd,hfowler6h@xinhuanet.com,Product 3,WHOLE,Local,Low,SUPER,"Duisburg, Germany"
SO - 000210,2014-06-14,Wholesale,GUT930,10,958.1,517.374,Skippad Ltd,jchavezik@aboutads.info,Product 11,WHOLE,Local,Low,SUPER,"Genova, Italy"
SO - 000211,2014-06-14,Wholesale,GUT930,9,2659.9,1675.737,Aibox Company,smorrisba@craigslist.org,Product 1,WHOLE,Local,Low,SUPER,"Salonika, Greece"
SO - 000212,2014-06-14,Distributor,AXW291,12,2217.7000000000003,1707.6290000000004,Cogilith Group,bnelson17@parallels.com,Product 6,DIST,Regional,Mid,REGIONS,"Torino (Turin), Italy"
SO - 000213,2014-06-15,Wholesale,AXW291,7,1715.2,857.6,Zoomdog Corp,gsmith1x@youku.com,Product 11,WHOLE,Local,Low,SUPER,"BUDAPEST, Hungary"
SO - 000214,2014-06-15,Wholesale,NXH382,6,3932.9,1691.147,Tagfeed Ltd,srichardson8l@ucla.edu,Product 2,WHOLE,Local,Low,SUPER,"Stuttgart, Germany"
SO - 000215,2014-06-15,Distributor,AXW291,5,2546.0,1909.5,Mydeo Ltd,sjohnstonjs@deliciousdays.com,Product 2,DIST,Regional,Mid,REGIONS,"RIGA, Latvia"
SO - 000216,2014-06-15,Distributor,NXH382,5,837.5,603.0,Zooxo Ltd,hmoore3c@privacy.gov.au,Product 5,DIST,Regional,Mid,REGIONS,"Rotterdam, Netherlands"
SO - 000217,2014-06-15,Distributor,GUT930,10,1809.0,1302.48,Cogidoo Company,mcarrolli3@foxnews.com,Product 6,DIST,Regional,Mid,REGIONS,"Kryvy Rig, Ukraine"
SO - 000218,2014-06-15,Distributor,NXH382,5,857.6,514.56,Valeant Corp,bbowman1j@phpbb.com,Product 9,DIST,Regional,Mid,REGIONS,"Düsseldorf, Germany"
SO - 000219,2014-06-15,Export,AXW291,8,1748.7,1101.681,Neutrogena Ltd,aharveyd3@flavors.me,Product 5,EXP,International,High,INTL,"BERLIN, Germany"
SO - 000220,2014-06-15,Distributor,AXW291,10,1266.3,582.498,True Ltd,bcollins1t@prweb.com,Product 5,DIST,Regional,Mid,REGIONS,"Kharkov, Ukraine"
SO - 000221,2014-06-15,Wholesale,AXW291,11,5058.5,3591.535,Skippad Ltd,jchavezik@aboutads.info,Product 13,WHOLE,Local,Low,SUPER,"KIEV, Ukraine"
SO - 000222,2014-06-15,Distributor,AXW291,10,958.1,795.223,Dazzlesphe Corp,mpalmera6@census.gov,Product 5,DIST,Regional,Mid,REGIONS,"BUCURESTI (Bucharest), Romania"
SO - 000223,2014-06-15,Export,AXW291,11,1802.3,756.966,Actavis Company,jkimw@netscape.com,Product 6,EXP,International,High,INTL,"Napoli (Naples), Italy"
SO - 000224,2014-06-16,Wholesale,AXW291,11,6298.0,4534.5599999999995,Kaymbo Company,alittle8i@un.org,Product 7,WHOLE,Local,Low,SUPER,"Hamburg, Germany"
SO - 000225,2014-06-16,Wholesale,AXW291,6,2499.1,1824.3429999999998,Rhynoodle Ltd,wshawq2@mlb.com,Product 13,WHOLE,Local,Low,SUPER,"LONDON, UK"
SO - 000226,2014-06-16,Wholesale,GUT930,8,871.0,705.51,Safecor Corp,bchapmanu@geocities.jp,Product 7,WHOLE,Local,Low,SUPER,"Kraków, Poland"
SO - 000227,2014-06-16,Wholesale,GUT930,6,750.4,360.19199999999995,Muxo Group,hday5g@webnode.com,Product 11,WHOLE,Local,Low,SUPER,"Genova, Italy"
SO - 000228,2014-06-16,Distributor,GUT930,5,763.8000000000001,504.10800000000006,Zoomzone Corp,kwheeler2h@army.mil,Product 10,DIST,Regional,Mid,REGIONS,"Kraków, Poland"
SO - 000229,2014-06-16,Export,NXH382,11,844.2,565.614,Thoughtmix Ltd,ssanchez5k@netvibes.com,Product 7,EXP,International,High,INTL,"Düsseldorf, Germany"
SO - 000230,2014-06-16,Wholesale,AXW291,5,261.3,112.35900000000001,GOOD Ltd,dhanson5@com.com,Product 15,WHOLE,Local,Low,SUPER,"PARIS, France"
SO - 000231,2014-06-16,Export,AXW291,8,3999.9,2359.941,Eire Corp,rgreene16@deviantart.com,Product 10,EXP,International,High,INTL,"WIEN (Vienna), Austria"
SO - 000232,2014-06-16,Wholesale,GUT930,7,1112.2,811.9060000000001,Cogidoo Company,mcarrolli3@foxnews.com,Product 8,WHOLE,Local,Low,SUPER,"Frankfurt am Main, Germany"
SO - 000233,2014-06-16,Wholesale,AXW291,8,2633.1,1843.1699999999998,Wordtune Company,ssnyder4l@cafepress.com,Product 4,WHOLE,Local,Low,SUPER,"Marseille, France"
SO - 000234,2014-06-16,Distributor,AXW291,5,1018.4,631.408,Fivechat Company,jrose1k@163.com,Product 9,DIST,Regional,Mid,REGIONS,"Odessa, Ukraine"
SO - 000235,2014-06-16,Distributor,AXW291,12,5219.3,3444.7380000000003,Cogidoo Company,mcarrolli3@foxnews.com,Product 12,DIST,Regional,Mid,REGIONS,"MINSK, Belarus"
SO - 000236,2014-06-16,Export,NXH382,11,3999.9,2359.941,SHISEIDO Ltd,rreyesqw@list-manage.com,Product 7,EXP,International,High,INTL,"Glasgow, UK"
SO - 000237,2014-06-17,Wholesale,FLR025,10,1721.9,1084.797,Aimbo Corp,criveramf@mysql.com,Product 14,WHOLE,Local,Low,SUPER,"Duisburg, Germany"
SO - 000238,2014-06-17,Wholesale,GUT930,9,737.0,456.94,Sanum-Kehl Group,pwells2x@zimbio.com,Product 5,WHOLE,Local,Low,SUPER,"STOCKHOLM, Sweden"
SO - 000239,2014-06-17,Wholesale,AXW291,9,1219.4,695.058,Roomm Company,hbishop6d@goodreads.com,Product 11,WHOLE,Local,Low,SUPER,"PARIS, France"
SO - 000240,2014-06-17,Wholesale,NXH382,6,891.1,712.8800000000001,Walgreen Corp,aparker1l@pcworld.com,Product 14,WHOLE,Local,Low,SUPER,"Dortmund, Germany"
SO - 000241,2014-06-17,Wholesale,AXW291,12,978.2,743.432,ALK-Abello Ltd,jwelch37@bigcartel.com,Product 5,WHOLE,Local,Low,SUPER,"ZAGREB, Croatia"
SO - 000242,2014-06-17,Wholesale,AXW291,9,3946.3,1657.446,Aibox Company,smorrisba@craigslist.org,Product 6,WHOLE,Local,Low,SUPER,"RIGA, Latvia"
SO - 000243,2014-06-17,Wholesale,GUT930,12,1299.8,922.858,Yodoo Ltd,fscottii@fotki.com,Product 1,WHOLE,Local,Low,SUPER,"ATHINAI (Athens), Greece"
SO - 000244,2014-06-18,Distributor,AXW291,5,5815.6,2791.4880000000003,Zoomdog Corp,gsmith1x@youku.com,Product 5,DIST,Regional,Mid,REGIONS,"Kharkov, Ukraine"
SO - 000245,2014-06-18,Distributor,AXW291,10,1092.1000000000001,655.2600000000001,Aibox Company,smorrisba@craigslist.org,Product 15,DIST,Regional,Mid,REGIONS,"Napoli (Naples), Italy"
